m	 	 	 k 	 	 	 n 	 	 	 AC 	 B 	 	 time 
32 		 	 32 	 	 32 	 	 1 	 	 1 		 0.000527 
32 	 		 32 	 	 128 	 	 0 	 	 1 		 0.000560 
32 	 		 32 	 	 512 	 	 0 	 	 1 		 0.000792 
32 	 	 	 32 	 	 2048 	 	 0 	 	 0 		 0.001483 
32 	 	 	 128 	 	 32 	 	 0 	 	 1 		 0.000540 
32 	 	 	 128 	 	 128 	 	 0 	 	 1 		 0.000730 
32 	 	 	 128 	 	 512 	 	 0 	 	 1 		 0.001337 
32 	 	 	 128 	 	 2048 	 	 0 	 	 0 		 0.003780 
32 	 	 	 512 	 	 32 	 	 0 	 	 0 		 0.000795 
32 	 	 	 512 	 	 128 	 	 0 	 	 1 		 0.001262 
32 	 	 	 512 	 	 512 	 	 1 	 	 0 		 0.003194 
32 	 	 	 512 	 	 2048 	 	 0 	 	 0 		 0.011927 
32 	 		 2048 	 	 32 	 	 0 	 	 1 		 0.001298 
32 	 	 	 2048 	 	 128 	 	 0 	 	 0 		 0.003288 
32 	 	 	 2048 	 	 512 	 	 0 	 	 0 		 0.010914 
32 	 	 	 2048 	 	 2048 	 	 0 	 	 0 		 0.049371 
128 	 	 32 	 	 32 	 	 0 	 	 1 		 0.000578 
128 	 	 32 	 	 128 	 	 0 	 	 0 		 0.000738 
128 	 	 32 	 	 512 	 	 0 	 	 1 		 0.001325 
128 	 	 32 	 	 2048 	 	 0 	 	 1 		 0.003292 
128 	 	 128 	 	 32 	 	 0 	 	 0 		 0.000689 
128 	 	 128 	 	 128 	 	 0 	 	 0 		 0.000874 
128 	 	 128 	 	 512 	 	 0 	 	 1 		 0.001724 
128 	 	 128 	 	 2048 	 	 0 	 	 0 		 0.005213 
128 	 	 512 	 	 32 	 	 0 	 	 0 		 0.000979 
128 	 	 512 	 	 128 	 	 0 	 	 1 		 0.001410 
128 	 	 512 	 	 512 	 	 0 	 	 0 		 0.003631 
128 	 	 512 	 	 2048 	 	 0 	 	 0 		 0.013991 
128 	 	 2048 	 	 32 	 	 0 	 	 1 		 0.001643 
128 	 	 2048 	 	 128 	 	 0 	 	 0 		 0.003578 
128 	 	 2048 	 	 512 	 	 0 	 	 0 		 0.012016 
128 	 	 2048 	 	 2048 	 	 0 	 	 0 		 0.051665 
512 	 	 32 	 	 32 	 	 0 	 	 0 		 0.000771 
512 	 	 32 	 	 128 	 	 0 	 	 1 		 0.001143 
512 	 	 32 	 	 512 	 	 0 	 	 1 		 0.002888 
512 	 	 32 	 	 2048 	 	 0 	 	 1 		 0.008600 
512 	 	 128 	 	 32 	 	 0 	 	 1 		 0.000795 
512 	 	 128 	 	 128 	 	 0 	 	 1 		 0.001275 
512 	 	 128 	 	 512 	 	 0 	 	 1 		 0.003191 
512 	 	 128 	 	 2048 	 	 0 	 	 0 		 0.011123 
512 	 	 512 	 	 32 	 	 0 	 	 1 		 0.001209 
512 	 	 512 	 	 128 	 	 0 	 	 1 		 0.002117 
512 	 	 512 	 	 512 	 	 0 	 	 0 		 0.005697 
512 	 	 512 	 	 2048 	 	 0 	 	 0 		 0.019758 
512 	 	 2048 	 	 32 	 	 0 	 	 1 		 0.003554 
512 	 	 2048 	 	 128 	 	 0 	 	 0 		 0.006189 
512 	 	 2048 	 	 512 	 	 0 	 	 0 		 0.015432 
512 	 	 2048 	 	 2048 	 	 0 	 	 0 		 0.064499 
2048 	 	 32 	 	 32 	 	 0 	 	 1 		 0.001192 
2048 	 	 32 	 	 128 	 	 0 	 	 1 		 0.002646 
2048 	 	 32 	 	 512 	 	 0 	 	 1 		 0.009311 
2048 	 	 32 	 	 2048 	 	 0 	 	 1 		 0.039004 
2048 	 	 128 	 	 32 	 	 0 	 	 0 		 0.001353 
2048 	 	 128 	 	 128 	 	 0 	 	 1 		 0.002865 
2048 	 	 128 	 	 512 	 	 0 	 	 1 		 0.007748 
2048 	 	 128 	 	 2048 	 	 0 	 	 0 		 0.039242 
2048 	 	 512 	 	 32 	 	 0 	 	 0 		 0.002644 
2048 	 	 512 	 	 128 	 	 0 	 	 1 		 0.005318 
2048 	 	 512 	 	 512 	 	 0 	 	 0 		 0.013578 
2048 	 	 512 	 	 2048 	 	 0 	 	 0 		 0.050867 
2048 	 	 2048 	 	 32 	 	 0 	 	 1 		 0.010928 
2048 	 	 2048 	 	 128 	 	 0 	 	 0 		 0.015765 
2048 	 	 2048 	 	 512 	 	 0 	 	 0 		 0.031158 
2048 	 	 2048 	 	 2048 	 	 0 	 	 0 		 0.089937 
